cost,L2,trace
6.815647915284973601e-01,7.310398344396803472e-01,9.119396545353469774e-01
5.763860777326478280e-01,7.270979240183925718e-01,8.833051561216668235e-01
4.989611663887354998e-01,7.346825043248700338e-01,8.529758214269219652e-01
4.428542138315975651e-01,7.424207203144727041e-01,8.216164158014552799e-01
4.018506395150172050e-01,7.405886427402930128e-01,7.891704015165411645e-01
3.714027026966184586e-01,7.154023712534803847e-01,7.549950019274697111e-01
3.473944850753171165e-01,6.893196729797831379e-01,7.187867178518100308e-01
3.256825091256587146e-01,6.703766787522613679e-01,6.806941614579230526e-01
3.050819682416331391e-01,6.407447350746784398e-01,6.411368698019883627e-01
2.860738557307633823e-01,6.038445354084379657e-01,6.002673598717083170e-01
2.690469987665266571e-01,5.648122698433754030e-01,5.578906958153594386e-01
2.538872907342925589e-01,5.232946914032212682e-01,5.138881899968228417e-01
2.406384092348480275e-01,4.767302256932365867e-01,4.688730526246916996e-01
2.295662359643591832e-01,4.333953820739831486e-01,4.243218014868636589e-01
2.204803113810323567e-01,3.896868561412656362e-01,3.822182575042883945e-01
2.124006815934818548e-01,3.499251604694977313e-01,3.445275941712725998e-01
2.041733557974273472e-01,3.166533497388832608e-01,3.126593330915903302e-01
1.955033097791637753e-01,2.904092763391144527e-01,2.873314154287029965e-01
1.871915476788555965e-01,2.712190399100017912e-01,2.687136166200077558e-01
1.803131418004308706e-01,2.582013171779631855e-01,2.560405579136618148e-01
1.752947400809203027e-01,2.490775406001836945e-01,2.471384077410895275e-01
1.718247268214006807e-01,2.409987993805295381e-01,2.392427375453161364e-01
1.694251134490318000e-01,2.320767858245935122e-01,2.305090442066281275e-01
1.679044766375149544e-01,2.220538409263337620e-01,2.206809706695237183e-01
1.673353173293967433e-01,2.119433754998990560e-01,2.107499536029744935e-01
1.676685152331119089e-01,2.030484063785993332e-01,2.019992693742952428e-01
1.684328934755505991e-01,1.959174489186001622e-01,1.949751797166316691e-01
1.689316356104801908e-01,1.900158383239178572e-01,1.891563048520789048e-01
1.688056030117758288e-01,1.844267249041519063e-01,1.836409326065397418e-01
1.682978360359670411e-01,1.787527924824568737e-01,1.780374097894394381e-01
1.678493052383313033e-01,1.732127867617614392e-01,1.725619583034666282e-01
1.675397425957981801e-01,1.680694883827408559e-01,1.674749972038094004e-01
1.670889962305119880e-01,1.632813934776810860e-01,1.627363318760726152e-01
1.663217142322244990e-01,1.586742608922200592e-01,1.581740945221074557e-01
1.653989539207343373e-01,1.541192221533088380e-01,1.536609466860571205e-01
1.645800877233538906e-01,1.494577904017782011e-01,1.490398895291459302e-01
1.639406269795701254e-01,1.445055388197619695e-01,1.441278523634746123e-01
1.634115263967969023e-01,1.393272189759106050e-01,1.389887290172299172e-01
