cost,L2,trace
1.964017620885108784e+00,7.592533459357961867e-01,9.997728248632073988e-01
1.648130438674950238e+00,7.469296422216651354e-01,9.992168022111352910e-01
1.383240256877595664e+00,7.176122044031794101e-01,9.976402350194570889e-01
1.178145834058499597e+00,6.963954506038193548e-01,9.948918374414488230e-01
1.034091208728190825e+00,6.866756999333658573e-01,9.914487230838915366e-01
9.360686028507164691e-01,6.744844204165655333e-01,9.880314141436447040e-01
8.623074031111925830e-01,6.483307278436843957e-01,9.848458696086556108e-01
7.977844624695950015e-01,6.295519241296431145e-01,9.815703557415258462e-01
7.363022937013666835e-01,6.161925116850973660e-01,9.778009396132678610e-01
6.765394759573148953e-01,6.075926688668896736e-01,9.733255944418411909e-01
6.197008343975692890e-01,6.081040367476649999e-01,9.681125820754543643e-01
5.682535774119396033e-01,6.148521119448532302e-01,9.622771195978407910e-01
5.248059284210372377e-01,6.173472834239014384e-01,9.560848061172235735e-01
4.907018444655639744e-01,6.173326343600237243e-01,9.499670300226934483e-01
4.647323469711240329e-01,6.211166186515398868e-01,9.444000621859022226e-01
4.436708044894736025e-01,6.205323760624549267e-01,9.397293904084793592e-01
4.242357402854813886e-01,6.224803099382799632e-01,9.361134587135855334e-01
4.048278858938262337e-01,6.296346317796234215e-01,9.335207806220066074e-01
3.857638064750606999e-01,6.435478672349360663e-01,9.317512953559640154e-01
3.686226383018428310e-01,6.636362054260258603e-01,9.305346226858310921e-01
3.551876053086117091e-01,6.866922712714671473e-01,9.295689487405509599e-01
3.465333041733472119e-01,7.135376606903586216e-01,9.285737929177531047e-01
3.422494999350589318e-01,7.380110889603782587e-01,9.273555726223124962e-01
3.402514256078469357e-01,7.601118874655663493e-01,9.257668986101192932e-01
3.376999871699057909e-01,7.812756682171944078e-01,9.237164832353950139e-01
3.323372443120518049e-01,7.996942210175256305e-01,9.212085596408556842e-01
3.234603594774591029e-01,8.158335796373354931e-01,9.183817657756193631e-01
3.116868134103852883e-01,8.282465412108499514e-01,9.153797238304509643e-01
2.982643277962950257e-01,8.360387096022128262e-01,9.123588754164855263e-01
2.843710913272565755e-01,8.354545594177463785e-01,9.093745887161098773e-01
2.706911966674344083e-01,8.330216163960074693e-01,9.064578658221510432e-01
2.573253640118298158e-01,8.309403757458108108e-01,9.035865918484150550e-01
2.440247614999928594e-01,8.260654867710464089e-01,9.007251835785194949e-01
2.305923882770711530e-01,8.207118612980134342e-01,8.978224675949723066e-01
2.170267735481907767e-01,8.177242591582041253e-01,8.949882196486262931e-01
2.034312315554524242e-01,8.173868741370796664e-01,8.923795233658282644e-01
1.897650204917656624e-01,8.193100675408052647e-01,8.902284853070133730e-01
1.758686395621460452e-01,8.235377038764020163e-01,8.887525100364820352e-01
1.616492490219187117e-01,8.235550744592804451e-01,8.881313891567707008e-01
1.473310746155434003e-01,8.214637884931668133e-01,8.884913744235580779e-01
1.334827738978568434e-01,8.182918171740751756e-01,8.896456245827406573e-01
1.209123413124103957e-01,8.161612559192777949e-01,8.913566737751877911e-01
1.103536143333155167e-01,8.101406384594633803e-01,8.932707345611096139e-01
1.022672761754571391e-01,8.068131125126880576e-01,8.950176298894816362e-01
9.659487198053934298e-02,8.053749974826935887e-01,8.962842430422036655e-01
9.279339113512338755e-02,8.028711554541096973e-01,8.966624463970492842e-01
9.007505116142550117e-02,8.023713913194828740e-01,8.959667070620894735e-01
8.769344750738483629e-02,8.030312123382685741e-01,8.940638656307086096e-01
8.514981276027258628e-02,8.032731006190306777e-01,8.909350356579728292e-01
8.229382463459673780e-02,8.040753498483914630e-01,8.865978947451143011e-01
7.926082697319966619e-02,8.056263164972813362e-01,8.810869368055370687e-01
7.630615341459896783e-02,8.076853021461825044e-01,8.745573619596135329e-01
7.361487004768106635e-02,8.091269638961314792e-01,8.672479906443643083e-01
7.121314660626346105e-02,8.101301888751396563e-01,8.594720265355174638e-01
6.898079616185544272e-02,8.100587488124180169e-01,8.514673110886057383e-01
6.673433460626457259e-02,8.095371444992157661e-01,8.435989516004652744e-01
6.432031687934741671e-02,8.069515448826340975e-01,8.360449894640418211e-01
6.169533036370662693e-02,8.009254109209759109e-01,8.288372449269886255e-01
5.891061517004706621e-02,7.926178028289462274e-01,8.219619714677205424e-01
5.605149938796115394e-02,7.835536012607028367e-01,8.153903782702586200e-01
5.315339696658544222e-02,7.752226843584260063e-01,8.089727854432802179e-01
5.025721517744169420e-02,7.676367998396851355e-01,8.026550784399646421e-01
4.744144059891341331e-02,7.608140260894390439e-01,7.962440479445749286e-01
4.486338813771795220e-02,7.547979226470976633e-01,7.896930346272997836e-01
4.268799569000934768e-02,7.493336798076272176e-01,7.828613213658703884e-01
4.101427853970564252e-02,7.443336703377820829e-01,7.757512348304940186e-01
3.979465388548060478e-02,7.383166749147230812e-01,7.683114792044817287e-01
3.884620165243134193e-02,7.328133856425742554e-01,7.605219464977801547e-01
3.797215526328760749e-02,7.268938139153792166e-01,7.523155403085899362e-01
3.705999054739587267e-02,7.216902451536579832e-01,7.437822553659254599e-01
3.611014059671009691e-02,7.168878244029825986e-01,7.350656604838649022e-01
3.519338176849338973e-02,7.123894147425673395e-01,7.261856275553981721e-01
3.437097892164898277e-02,7.085818130869768749e-01,7.172382285205992636e-01
3.362718077292311397e-02,7.054382253141799897e-01,7.083305769006169594e-01
3.288448738086702239e-02,7.030172819118257754e-01,6.999155224695378097e-01
3.206215762831002292e-02,7.011531777033210844e-01,6.920800871181141956e-01
3.115223341939089147e-02,6.988178263193665085e-01,6.849735387471876935e-01
3.023066628602161937e-02,6.967162270970985727e-01,6.785756065650628832e-01
2.936502537311838981e-02,6.943840792834307107e-01,6.730126067785132671e-01
2.859032616337684601e-02,6.923554191440940420e-01,6.683025690780379779e-01
2.789847574202160632e-02,6.899442402648798822e-01,6.642314141513780967e-01
2.725713220791731867e-02,6.878593339765599612e-01,6.607586865895482831e-01
2.665307519009949000e-02,6.858761834466358120e-01,6.575454458162830473e-01
2.607884243425949433e-02,6.836498274620087523e-01,6.542356402518515468e-01
2.552700071231661649e-02,6.810464431629462689e-01,6.506140750062168188e-01
2.498185817415637944e-02,6.779523004043835899e-01,6.464967960769405497e-01
2.443180744427305567e-02,6.744347617626972324e-01,6.418706074067446199e-01
2.387205149589367859e-02,6.699713682089060152e-01,6.366289819408116335e-01
2.330944105294971425e-02,6.643852107443931621e-01,6.307631874724106691e-01
2.275601165726534245e-02,6.585181628094537443e-01,6.244722872457366680e-01
2.221794277382428684e-02,6.525127303182600702e-01,6.179136008680071734e-01
2.168037563775586374e-02,6.459130480582077061e-01,6.113010232230183805e-01
2.113733955368659809e-02,6.381240403355105117e-01,6.047717457313178668e-01
2.060072440504321506e-02,6.305694124052579896e-01,5.984085630657842714e-01
2.008354176617819370e-02,6.234683898832560356e-01,5.924005541128488650e-01
1.958470943443881354e-02,6.166045750967993344e-01,5.865688054473934265e-01
1.909217933650727422e-02,6.099683257982650986e-01,5.809078626246804156e-01
1.859613949001034938e-02,6.033183746581040063e-01,5.752132857033479540e-01
1.809745202086594784e-02,5.965683942188862998e-01,5.694108719064737700e-01
1.760197609047219752e-02,5.895240598246450636e-01,5.633319132767810045e-01
1.710959520428334546e-02,5.820221158059032396e-01,5.568320178859131886e-01
1.661785111692673511e-02,5.740754626595357957e-01,5.499179519978809605e-01
1.612914892127355337e-02,5.657586405596888302e-01,5.426505167725221845e-01
1.564568752127274559e-02,5.572298200762947351e-01,5.351651356249597091e-01
1.516972196102047907e-02,5.484119433947334254e-01,5.273918542733765369e-01
1.470686814880510854e-02,5.393540831991872064e-01,5.193714599063291582e-01
1.425361777813792530e-02,5.300446611197470181e-01,5.110914697268422735e-01
1.379758549243640525e-02,5.205159800426205630e-01,5.025785376449791730e-01
1.333864608614907833e-02,5.108170880532024727e-01,4.938749301640170675e-01
1.288375842033124413e-02,5.011598399580308172e-01,4.851707946184043441e-01
1.243850987019465629e-02,4.915106163081920387e-01,4.764369186017390345e-01
1.200225644664459045e-02,4.817091915848775163e-01,4.675282561825440109e-01
1.157539064450275983e-02,4.716758358450342525e-01,4.583709944240387246e-01
