cost,L2,trace
1.964017620885108784e+00,7.592533459357961867e-01,9.997728248632073988e-01
1.648130438348188287e+00,7.469296420821527338e-01,9.992168022793795901e-01
1.382558249557334307e+00,7.175658061216970696e-01,9.976510475195243810e-01
1.176595260697552714e+00,6.960489707492394373e-01,9.949205914641676696e-01
1.032198065497788697e+00,6.858294042614637709e-01,9.915217118180311706e-01
9.337494115575756259e-01,6.734390707015568411e-01,9.881542774640867943e-01
8.594572118333352329e-01,6.477955396685621814e-01,9.849899067049542323e-01
7.947937869340168104e-01,6.297055647153293467e-01,9.817039049488733848e-01
7.337313908433612530e-01,6.170802345833559244e-01,9.779337014875872924e-01
6.747923779818125745e-01,6.092819855238033044e-01,9.734743548935377300e-01
6.189529166291498630e-01,6.106333991041469345e-01,9.682913884071698840e-01
5.685268626510515677e-01,6.177810233250808913e-01,9.624901578768046972e-01
5.259513744862770457e-01,6.208138485291594399e-01,9.563326689695172966e-01
4.923354526526430019e-01,6.207198706045428116e-01,9.502428452066112863e-01
4.664785410672191435e-01,6.242936208500150519e-01,9.446774736758138946e-01
4.454029962221439654e-01,6.229058461895798926e-01,9.399679718057440958e-01
4.260538369924559143e-01,6.245203991279453248e-01,9.362553382707748950e-01
4.068468133822258359e-01,6.311322847954000670e-01,9.334999265368012500e-01
3.879945593448035357e-01,6.443603067353821379e-01,9.315213693698171094e-01
3.708620436097858630e-01,6.636509028438477564e-01,9.300559735206089806e-01
3.571215352496810991e-01,6.858149911597452020e-01,9.288279341915760545e-01
3.479274158408620088e-01,7.112579737001128999e-01,9.275990342800189969e-01
3.430825467883009128e-01,7.345887234929097120e-01,9.261749567314710996e-01
3.407450972295755776e-01,7.551837448740225112e-01,9.244032534287768277e-01
3.382005777504750177e-01,7.750512007329745101e-01,9.221976022045037524e-01
3.332154383926764774e-01,7.933624807881310970e-01,9.195701519291840098e-01
3.249303739233175836e-01,8.074586261184515390e-01,9.166283533317096666e-01
3.138266082024379067e-01,8.192412240889864750e-01,9.135219780804071377e-01
3.010880317247571214e-01,8.275270922396837925e-01,9.103703965775223894e-01
2.878887460377294039e-01,8.263903216424010045e-01,9.072145060656092719e-01
2.749115040710253255e-01,8.227847630202176354e-01,9.040150989517298230e-01
2.622246789764645092e-01,8.197865927490325388e-01,9.006907049844096180e-01
2.495361804580385201e-01,8.164764456747000132e-01,8.971759011864351985e-01
2.365943425859773908e-01,8.125022904302999782e-01,8.934768645500543727e-01
2.233818003367174232e-01,8.083872427362254198e-01,8.897016391028389481e-01
2.099985426667152211e-01,8.068164940744834146e-01,8.860555962164541333e-01
1.964556084289807436e-01,8.083704802785779409e-01,8.828106411521041696e-01
1.826245212143999264e-01,8.111844895462093641e-01,8.802612318478205689e-01
1.683735486253289948e-01,8.177207367026505525e-01,8.786706972678480776e-01
1.537838670594232071e-01,8.199901927287471803e-01,8.782110340446159791e-01
1.393055541754245341e-01,8.171684728096842987e-01,8.789104972845916963e-01
1.257248073381777576e-01,8.151680851931260019e-01,8.806270970391845143e-01
1.139296216614704843e-01,8.093235868773240860e-01,8.830589645488143846e-01
1.045896646497892629e-01,8.046565923287704036e-01,8.857899924682751669e-01
9.790050547351220045e-02,8.027000834563189358e-01,8.883576712319907198e-01
9.350724856573150445e-02,8.019415894358530306e-01,8.903244512397547883e-01
9.064924520055454848e-02,8.011761181865115766e-01,8.913347059235136038e-01
8.846143655161917141e-02,8.020126995320179253e-01,8.911461129201511122e-01
8.627868117974507589e-02,8.038952237993607364e-01,8.896354363341338889e-01
8.379493307898853993e-02,8.055987782452674884e-01,8.867884305711308812e-01
8.103156938613548244e-02,8.081592304505385016e-01,8.826854391722188664e-01
7.818083484684530682e-02,8.104703093442723327e-01,8.774881190191687885e-01
7.543426531451111194e-02,8.122621139368226828e-01,8.714250343161132895e-01
7.287773581466855388e-02,8.143238982050091668e-01,8.647709317645632110e-01
7.047675873461844986e-02,8.162871122580483974e-01,8.578173445817361964e-01
6.812822036832354156e-02,8.163780221627743305e-01,8.508372861434575496e-01
6.573274913593737945e-02,8.150310338406656641e-01,8.440504270875071047e-01
6.324258380863849449e-02,8.109046929209557941e-01,8.375961645717259207e-01
6.066143085138641505e-02,8.038068680285799239e-01,8.315210890346625972e-01
5.801072991890467156e-02,7.953170417537021031e-01,8.257848339855969888e-01
5.530527392101031864e-02,7.874816060895558634e-01,8.202835679926026025e-01
5.256894115110173626e-02,7.803118555075929663e-01,8.148840117089889423e-01
4.987470042835383255e-02,7.737966101591231549e-01,8.094562737912627259e-01
4.735971453318837954e-02,7.679171589630218175e-01,8.038948005698184351e-01
4.518300878348154026e-02,7.626495016409354788e-01,7.981230768666310871e-01
4.344507095617156089e-02,7.579561407459690647e-01,7.920854790152848102e-01
4.212763989149216626e-02,7.537777912808186764e-01,7.857352054008319708e-01
4.110198436069874284e-02,7.495442600541192268e-01,7.790284438847449033e-01
4.020213931892031856e-02,7.452368461104580399e-01,7.719310049708049126e-01
3.931057272565119387e-02,7.410711509388310247e-01,7.644360035371056128e-01
3.839907516383309072e-02,7.361285687888692308e-01,7.565843109061123339e-01
3.750592595776713195e-02,7.312340615733157190e-01,7.484780858206108167e-01
3.667538626696524584e-02,7.269648706725062581e-01,7.402820781743025824e-01
3.590616569184649359e-02,7.234509458019438011e-01,7.322131341721994646e-01
3.514466508348942919e-02,7.206996715649494067e-01,7.245208567804176658e-01
3.432532566617772785e-02,7.187446791352044562e-01,7.174612783391659532e-01
3.342381688648469323e-02,7.173276077942555284e-01,7.112638081964712811e-01
3.247744261624602863e-02,7.157643258623199722e-01,7.060929129724335951e-01
3.155609439645935821e-02,7.149558534468495319e-01,7.020107606428144242e-01
3.071216156500400710e-02,7.147118499861006002e-01,6.989522788365053474e-01
2.995388141989257375e-02,7.147885515474837748e-01,6.967240887029582108e-01
2.925850287887576950e-02,7.149258052941626085e-01,6.950310211625543300e-01
2.860215813558431366e-02,7.148871650862612670e-01,6.935230610058006340e-01
2.797466775870861844e-02,7.144622583497121093e-01,6.918493512371691745e-01
2.737240147891989092e-02,7.135715305068703884e-01,6.897070827467544074e-01
2.678675166509351946e-02,7.121800558553357252e-01,6.868780736644073404e-01
2.620470623869979032e-02,7.102839138996256407e-01,6.832501041003496978e-01
2.561954226977440630e-02,7.071644895188442526e-01,6.788220207521841187e-01
2.503711252347046862e-02,7.033455360863860584e-01,6.736923766033775518e-01
2.446864966669270308e-02,6.985610749919231033e-01,6.680330877213740415e-01
2.391697558116898450e-02,6.936542752891763364e-01,6.620530856124867691e-01
2.337172033914232047e-02,6.888209998542031975e-01,6.559600166580312752e-01
2.281981927227681728e-02,6.842120337846741007e-01,6.499274071377724171e-01
2.225934545683927110e-02,6.799239115533424194e-01,6.440705976004016398e-01
2.170014579723150011e-02,6.747127614782452154e-01,6.384319038904852084e-01
2.115165208521611884e-02,6.696408329860444875e-01,6.329769086983513260e-01
2.061454154986604170e-02,6.647248993706926790e-01,6.276053307166843398e-01
2.008547019979103898e-02,6.589727278070780514e-01,6.221759106794487737e-01
1.956466941463692183e-02,6.521881596111974710e-01,6.165378078156357189e-01
1.905421654595674391e-02,6.450260251362207597e-01,6.105590790741708407e-01
1.855112388792478154e-02,6.373810731011082531e-01,6.041472715915930936e-01
1.804717414541680970e-02,6.292111108607463255e-01,5.972613403600565141e-01
1.753633026423758595e-02,6.205385514902141963e-01,5.899141756674484149e-01
1.701971077091973122e-02,6.114394524745196957e-01,5.821646801892906842e-01
1.650270695898089710e-02,6.020226258053801294e-01,5.741011589350106803e-01
1.598943472514013572e-02,5.924054110655574412e-01,5.658212776659673482e-01
1.548127896384128566e-02,5.826924676936167113e-01,5.574139124366558340e-01
1.497918470260528601e-02,5.729603374909473246e-01,5.489453764359765175e-01
1.448486746275680533e-02,5.632480630685314793e-01,5.404505035708462302e-01
1.399960049676877635e-02,5.535544161682695030e-01,5.319293240748299567e-01
1.352381958758950078e-02,5.438426022799490722e-01,5.233503371222432143e-01
1.305876163253758340e-02,5.340514615229130513e-01,5.146597323686797898e-01
1.260694052599943202e-02,5.241100045567221866e-01,5.057939004491168733e-01
1.217011529758120839e-02,5.139523889767876330e-01,4.966927028401063593e-01
1.174822592759837588e-02,5.035320864740775448e-01,4.873123750380080055e-01
1.134110193750587255e-02,4.928339132277897439e-01,4.776368420820510385e-01
1.094957277490212280e-02,4.818811962978391539e-01,4.676849108557257773e-01
1.057390876640938726e-02,4.707356806603218979e-01,4.575110036393458812e-01
1.021264284706885697e-02,4.594899420021442138e-01,4.471989840025566432e-01
9.863996012643335906e-03,4.482535007516991743e-01,4.368499331106067696e-01
9.527467717077029233e-03,4.371344626015120083e-01,4.265653784650962899e-01
9.203357274123359980e-03,4.262203034124843470e-01,4.164292470441812721e-01
8.891713305429328404e-03,4.155634566260256735e-01,4.064938739856592265e-01
8.592496078511235522e-03,4.051764315777500181e-01,3.967746999459009216e-01
8.306077284575556080e-03,3.950370827341194713e-01,3.872545168912976954e-01
8.032733641561852489e-03,3.851009330426578003e-01,3.778945670428787706e-01
7.771841187071876905e-03,3.753165717650144839e-01,3.686488383535969637e-01
7.522231091104412959e-03,3.656406858544721250e-01,3.594783013754031531e-01
7.283354279418115945e-03,3.560492891183069664e-01,3.503617681319393107e-01
7.055570772232046262e-03,3.465421789145387566e-01,3.413004406217457487e-01
6.839294272716705224e-03,3.371400672202936599e-01,3.323154847187626548e-01
6.634363765256699047e-03,3.278764641583020722e-01,3.234404942183791709e-01
6.440157021117547988e-03,3.187869791993664936e-01,3.147113295279310718e-01
6.255754033524379976e-03,3.098985059032614009e-01,3.061556852111960714e-01
6.080116141926550366e-03,3.012213637695236312e-01,2.977853778122384609e-01
5.912613106451619811e-03,2.927471545349575321e-01,2.895940876012305654e-01
5.753236629619709781e-03,2.844527285837518682e-01,2.815610272259712055e-01
5.601998842525223593e-03,2.763085357643373374e-01,2.736589364029862192e-01
5.458392283426378999e-03,2.682889805141709938e-01,2.658641265392716613e-01
5.321641431663162898e-03,2.603817633172790802e-01,2.581656406327465514e-01
5.191164274591638338e-03,2.525927482182155348e-01,2.505701252607759888e-01
5.066614483406723171e-03,2.449444800315724868e-01,2.431005231335115202e-01
4.947739179352189827e-03,2.374694000926495796e-01,2.357895450874805399e-01
4.834350795321053218e-03,2.302006159318339962e-01,2.286706736464364509e-01
4.726259434142886587e-03,2.231632426856481888e-01,2.217696490646858809e-01
4.623131248332904529e-03,2.163688093582634420e-01,2.150989070182145746e-01
4.524565461871378307e-03,2.098140758167469089e-01,2.086563286109139326e-01
4.430360777431155417e-03,2.034837391193413114e-01,2.024278278643489581e-01
4.340532228343193556e-03,1.973552055836142183e-01,1.963920047197263152e-01
4.255045251236119416e-03,1.914038940747298523e-01,1.905253568572356504e-01
4.173697851239092753e-03,1.856082685319154768e-01,1.848072545298482527e-01
4.096228018414417929e-03,1.799537145677176930e-01,1.792237964648137893e-01
4.022387402316767238e-03,1.744342869008780883e-01,1.737695744059567227e-01
3.951967020139206949e-03,1.690520848348804617e-01,1.684470931389890347e-01
3.884835649219846396e-03,1.638147796980481130e-01,1.632643529888767320e-01
3.820888889819486905e-03,1.587321584764432580e-01,1.582314438216631536e-01
3.759956367980691987e-03,1.538128672847282885e-01,1.533573219369833984e-01
3.701838320632480465e-03,1.490625151784560898e-01,1.486479243174007314e-01
3.646404924778830561e-03,1.444834797201850207e-01,1.441059663525905421e-01
3.593582540631285946e-03,1.400758854004706955e-01,1.397319049888861298e-01
3.543271575412199406e-03,1.358390204951500924e-01,1.355253415547852391e-01
3.495339741150647016e-03,1.317724558838995752e-01,1.314861330262165895e-01
3.449664603559379414e-03,1.278760358835897004e-01,1.276143850961844184e-01
3.406133373438161027e-03,1.241484070354518243e-01,1.239089914438928769e-01
3.364633646132454085e-03,1.205848760923173835e-01,1.203655027960423979e-01
3.325068136574494369e-03,1.171760105965210103e-01,1.169747312091219682e-01
3.287343422794540559e-03,1.139080391619572696e-01,1.137231439109115116e-01
3.251353297813699278e-03,1.107652279111672466e-01,1.105952260195828679e-01
3.217003672350117818e-03,1.077332726179398986e-01,1.075768588590345354e-01
3.184224252341555025e-03,1.048020234241242438e-01,1.046580383573378487e-01
3.152942749323007013e-03,1.019664321497514708e-01,1.018338258450487421e-01
3.123079359126272950e-03,9.922582709079051655e-02,9.910363258183386981e-02
3.094561252668213622e-03,9.658219098120941759e-02,9.646950896964694155e-02
3.067320759520159555e-03,9.403807468804289971e-02,9.393406796039167894e-02
3.041292695066529633e-03,9.159466426976779763e-02,9.149855872616829977e-02
3.016421570032071058e-03,8.925040583365248525e-02,8.916149452799661257e-02
2.992655245080104096e-03,8.700056113798045054e-02,8.691820769296997040e-02
2.969932380978736186e-03,8.483803669328833508e-02,8.476167468560016904e-02
2.948191716583679726e-03,8.275534292490495381e-02,8.268446938080090125e-02
2.927385233893066603e-03,8.074673579621853559e-02,8.068090001065834904e-02
2.907470218960624912e-03,7.880937966661349936e-02,7.874817106975350034e-02
2.888401152325397597e-03,7.694302191749780029e-02,7.688606079818810501e-02
2.870132973515222060e-03,7.514848806524815350e-02,7.509542111579647905e-02
2.852622441674368924e-03,7.342577755828791353e-02,7.337627791271766897e-02
2.835831153998806791e-03,7.177259775660013719e-02,7.172636754288988503e-02
2.819728195591470615e-03,7.018386707652604639e-02,7.014064002053049807e-02
2.804282423845416618e-03,6.865233805903989128e-02,6.861188009747554162e-02
2.789458350210697983e-03,6.717017856312038071e-02,6.713228529700984715e-02
2.775223519441651424e-03,6.573092135142993842e-02,6.569541251065254273e-02
2.761551407509853229e-03,6.433086657518563567e-02,6.429757912009753662e-02
2.748416388798846470e-03,6.296927742554245255e-02,6.293805951660051690e-02
2.735792347309739039e-03,6.164740859473870349e-02,6.161811601088715978e-02
2.723654537069229199e-03,6.036697600547807907e-02,6.033947128566319318e-02
2.711979443186574024e-03,5.912881188180933723e-02,5.910296534256681555e-02
