cost,L2,trace
1.135403364371324564e+01,7.387955158496533059e-01,9.766759417859829373e-01
1.036789131682343523e+01,7.337565379815305100e-01,9.726024861658485454e-01
9.538231014755536918e+00,7.463351184011917105e-01,9.697030530640234902e-01
8.791242586071994936e+00,7.645308795826520898e-01,9.672207292853770566e-01
8.088669376237049846e+00,7.757910158907145304e-01,9.649234629205216685e-01
7.424059805226209008e+00,7.840645719603037689e-01,9.622709986038634478e-01
6.833137040093821390e+00,7.984746965030724564e-01,9.592011240569713326e-01
6.359226637166270457e+00,8.178835324234888793e-01,9.555613596067649151e-01
6.020125389886624490e+00,8.324739729455864490e-01,9.509087216318137248e-01
5.785018443036385349e+00,8.444658382443378519e-01,9.447547731979627494e-01
5.591074109687439453e+00,8.515658192302394403e-01,9.369044689173487983e-01
5.393890893855870061e+00,8.508833605170984526e-01,9.274233360777011104e-01
5.186515131332900097e+00,8.463907515482711474e-01,9.166923623265207377e-01
4.982570081669643436e+00,8.391014991337178985e-01,9.052257523946527495e-01
4.793729655993156591e+00,8.318055851331872530e-01,8.935135477675633098e-01
4.618836990622024352e+00,8.257056987158848393e-01,8.818611352625866928e-01
4.449187211421386401e+00,8.181859439405068102e-01,8.703154776966910422e-01
4.278284018570834846e+00,8.110177655451625833e-01,8.588329114079413795e-01
4.106096636545720102e+00,8.050731894929517019e-01,8.473921885075005322e-01
3.937741616537908218e+00,7.987083922463694696e-01,8.361032535835376533e-01
3.778764426224065609e+00,7.899936480904429237e-01,8.250901771921492767e-01
3.633323850998217086e+00,7.820103056618552539e-01,8.144419652199026416e-01
3.501742772595603181e+00,7.745110195834671307e-01,8.040706473412579935e-01
3.380002010302071369e+00,7.663551617841017904e-01,7.936913382688609575e-01
3.261374169816727342e+00,7.574628379216483687e-01,7.829127204451024058e-01
3.139172010592968576e+00,7.463314172531987367e-01,7.712688093798509836e-01
3.008919573298669548e+00,7.345224938182279839e-01,7.583237729887626344e-01
2.869077093686854596e+00,7.186551574224200323e-01,7.437322203377997321e-01
2.721239682414216432e+00,7.002310670115631241e-01,7.273076615339408857e-01
2.569346962180852678e+00,6.799773588551011327e-01,7.090198100669864445e-01
2.419574911881854362e+00,6.574635228070669912e-01,6.890527033898226072e-01
2.279907844576008369e+00,6.351695594193451644e-01,6.678757723073148744e-01
2.158144859878638577e+00,6.128938975041599013e-01,6.460949536662493609e-01
2.058813757690674429e+00,5.918857487602007250e-01,6.245089494890754267e-01
1.980147411813937497e+00,5.696318159059744479e-01,6.037368386826379441e-01
1.914843477891880363e+00,5.489076713157511334e-01,5.841639403952748610e-01
1.852590191832116595e+00,5.299306959874006129e-01,5.660422674799331366e-01
1.785372672016831919e+00,5.126228822296667875e-01,5.495608209700149072e-01
1.711035447406388688e+00,4.970257869351215607e-01,5.349150865910183850e-01
1.633971910661599303e+00,4.835266366171337982e-01,5.222931778159355387e-01
1.561863945582396607e+00,4.715335932020729426e-01,5.117000290220241610e-01
1.501536141282983738e+00,4.581818666471210721e-01,5.027921110953801342e-01
1.455313624940929751e+00,4.461018016837896560e-01,4.946170493578949667e-01
1.420195093958409149e+00,4.372610757662155345e-01,4.859208469646765227e-01
1.390074136387831283e+00,4.310227202321663120e-01,4.755055127670825277e-01
1.358387540667093329e+00,4.235146879852751955e-01,4.623941564506485191e-01
1.321400153058870153e+00,4.125799851112976757e-01,4.462787715428708779e-01
1.279004507917488098e+00,4.022839708407646153e-01,4.274277531191601476e-01
1.233622718510912764e+00,3.919385099591398136e-01,4.064968343548036045e-01
1.188799323985807677e+00,3.795327421534548940e-01,3.843012622396522193e-01
1.147552860408105779e+00,3.633072843372838201e-01,3.617975605434947117e-01
1.111074319398214882e+00,3.437918424036585652e-01,3.399424843706885246e-01
1.078900599362905055e+00,3.236653143675695676e-01,3.193988280461491636e-01
1.050115038417053670e+00,3.041353640506790357e-01,3.005982948736898863e-01
1.024322631437753373e+00,2.869444341849498037e-01,2.839758061147444335e-01
1.001617098873742506e+00,2.722547852342883656e-01,2.697204582563840769e-01
9.820367159301123250e-01,2.598653482909055179e-01,2.576624226443116061e-01
9.651525252358617024e-01,2.492322913610711677e-01,2.472895324585165644e-01
9.501087791481638289e-01,2.395502401665750292e-01,2.378257294497307661e-01
9.358332583401107740e-01,2.298783293934849314e-01,2.283548182472760479e-01
9.215526875800759132e-01,2.194267884370336152e-01,2.181021669484984882e-01
9.071516703402393578e-01,2.077772409048734281e-01,2.066529452623180052e-01
8.931992620659325866e-01,1.950172730692634748e-01,1.940879531152127635e-01
8.805707151584600823e-01,1.815838476577705529e-01,1.808338853678798930e-01
8.696030823431809553e-01,1.679750292070315565e-01,1.673815410044332264e-01
8.598167485206673621e-01,1.544858608500261909e-01,1.540243037029572215e-01
8.500063241625164245e-01,1.413856483988772950e-01,1.410319202590126497e-01
8.390836838658572994e-01,1.291217599573193098e-01,1.288523822952676035e-01
8.267503229354226102e-01,1.181839799137963248e-01,1.179774583201445709e-01
8.136781688057902473e-01,1.088992225828521315e-01,1.087376727160032780e-01
8.013595827660278115e-01,1.016969939874570183e-01,1.015654365643002960e-01
7.913600198024748344e-01,9.671892805416114347e-02,9.660576658584130172e-02
7.845323181786032496e-01,9.356507584306492098e-02,9.346263122326453621e-02
7.806388010309993630e-01,9.153308084445374582e-02,9.143716908716593983e-02
7.787677732675531983e-01,8.997622658708329113e-02,8.988512766193580694e-02
