cost,L2,trace
1.135403364371324564e+01,7.387955158496533059e-01,9.766759417859829373e-01
1.036789133279047093e+01,7.337565226707594146e-01,9.726024826538370860e-01
9.535837457976413134e+00,7.463690058964268514e-01,9.697072651973562829e-01
8.782253415264957397e+00,7.636349575923975230e-01,9.671635968452279020e-01
8.072691938342522633e+00,7.747515335196204500e-01,9.647359998819994287e-01
7.402395468916120436e+00,7.829234857418390092e-01,9.619124224361127462e-01
6.807013843890532101e+00,7.970922530727536648e-01,9.586313029471138503e-01
6.329331187632036837e+00,8.142594912421460274e-01,9.546400922069903094e-01
5.986879818737058656e+00,8.282018001084611170e-01,9.495498900289383037e-01
5.747881214871378930e+00,8.417642554027042756e-01,9.429162761077019006e-01
5.549662107397699273e+00,8.470282890098527195e-01,9.344892098592133545e-01
5.349802821343851988e+00,8.451031965925636102e-01,9.243875221082511473e-01
5.142840981848443960e+00,8.400666818961795013e-01,9.130496817805527909e-01
4.941935094876541257e+00,8.321268122676117596e-01,9.010476369467425029e-01
4.756324128198381018e+00,8.254848954903956093e-01,8.888652370322686069e-01
4.582255643310539917e+00,8.190419459022970639e-01,8.767451665250893811e-01
4.410457124464689294e+00,8.120728622847093181e-01,8.646933396370479752e-01
4.235832608350846407e+00,8.053908251241181926e-01,8.526485455425898419e-01
4.059849177784874641e+00,7.975880309981394634e-01,8.406511947523485073e-01
3.887990612625556786e+00,7.888032628493814036e-01,8.288487027875867108e-01
3.726259047048180229e+00,7.802326871726161794e-01,8.173839228270969315e-01
3.578565606761694440e+00,7.725743911281707232e-01,8.062842578677207328e-01
3.445252830232203856e+00,7.652993596585555558e-01,7.954118389078326246e-01
3.322612434977502360e+00,7.577620426176284729e-01,7.844689421781636529e-01
3.203872820182902537e+00,7.475273122902639233e-01,7.730402132384094349e-01
3.081824801740489228e+00,7.366321821592658470e-01,7.606625820684455030e-01
2.951506152447072040e+00,7.237432691335842216e-01,7.468988677662389275e-01
2.811273679853300678e+00,7.083535717143381039e-01,7.313980966173024845e-01
2.662708843075941356e+00,6.901858981688089312e-01,7.139603881205636160e-01
2.510499460399850058e+00,6.685252409640938254e-01,6.946130060712109033e-01
2.362085812537323193e+00,6.467014293237424161e-01,6.736598531114165178e-01
2.226176728087102763e+00,6.255992530173722921e-01,6.516620080946488036e-01
2.110019580397582750e+00,6.039684454497419308e-01,6.293377015861076895e-01
2.016325355352511117e+00,5.802982146965592891e-01,6.074005597411239465e-01
1.941419572783058545e+00,5.586367070013567027e-01,5.863912136844166012e-01
1.876210306163862640e+00,5.393212279103010154e-01,5.665957519420747879e-01
1.810263164393774549e+00,5.221478614237123894e-01,5.481201212221656904e-01
1.736920496159158889e+00,5.062755514586505523e-01,5.310594151106606819e-01
1.656303834569690103e+00,4.914724326147584255e-01,5.155939031721676891e-01
1.574564770330129759e+00,4.785122899036809985e-01,5.019023881845843249e-01
1.500141491765522916e+00,4.677219160724809810e-01,4.899331906883021559e-01
1.439227274402094414e+00,4.568278984420198752e-01,4.791883747746953359e-01
1.392833497944568455e+00,4.442161726300250524e-01,4.686985327148543434e-01
1.356823911291987317e+00,4.300135176260039827e-01,4.572551713400718754e-01
1.324513947352688348e+00,4.159502817759104798e-01,4.437833190433779218e-01
1.290052335718704590e+00,4.031747580754242444e-01,4.276552508777518580e-01
1.250796760794426588e+00,3.915644173791118510e-01,4.088315370690518424e-01
1.207808878632468552e+00,3.795429252583938373e-01,3.878280641794447647e-01
1.164560121226491329e+00,3.647835009311414245e-01,3.655506006605698799e-01
1.124678248876655351e+00,3.454454047820514351e-01,3.430509432822009264e-01
1.090024098602419667e+00,3.249830480825586232e-01,3.212892309047703510e-01
1.060242411044923783e+00,3.045575562110310330e-01,3.010056783380116174e-01
1.033862425072645586e+00,2.856641994358302683e-01,2.827352652461311289e-01
1.009774642750340901e+00,2.693225085018581821e-01,2.668694363236928657e-01
9.878527564935785099e-01,2.557340339543256458e-01,2.536347955611427119e-01
9.685286354467400605e-01,2.448078898833139505e-01,2.429670238263752224e-01
9.519805526095580506e-01,2.360385366758976644e-01,2.343889353874951398e-01
9.376698758584339766e-01,2.285305035604301982e-01,2.270336919919333507e-01
9.245043915557827896e-01,2.212083733466114477e-01,2.198511571097371275e-01
9.114021297381070807e-01,2.131064139699931081e-01,2.118931995659356915e-01
8.978329246468141900e-01,2.035938154616164508e-01,2.025361866804481215e-01
8.840272987425767948e-01,1.924668213149947904e-01,1.915735433308771440e-01
8.707660222663636818e-01,1.799238400013377925e-01,1.791942858578982334e-01
8.588671679241469681e-01,1.664689892793555226e-01,1.658913400491950074e-01
8.486392215445686116e-01,1.527788192280801205e-01,1.523324087130252524e-01
8.396300852318507868e-01,1.395596590480110422e-01,1.392194707663001740e-01
8.308775606532521341e-01,1.274333684478070883e-01,1.271744273628136745e-01
8.215453189497547992e-01,1.168867640770446387e-01,1.166869724226334420e-01
8.115265855640172443e-01,1.082754841625507836e-01,1.081166956851372235e-01
8.015927712327042265e-01,1.018155332109154376e-01,1.016835150172049063e-01
7.929756888095669254e-01,9.749979088975446739e-02,9.738386529654037560e-02
7.866523667574548684e-01,9.497584335619441154e-02,9.486869277256157473e-02
7.827900458314613896e-01,9.352301376580821057e-02,9.342070729590280787e-02
7.806957771211398001e-01,9.221949517390497231e-02,9.212140866936840977e-02
7.792728779602723366e-01,9.022481755642387802e-02,9.013296120715738602e-02
7.776483172322449233e-01,8.701873420630865108e-02,8.693632912713813998e-02
7.755509785710587023e-01,8.249484881117920276e-02,8.242464263080789832e-02
7.732427670184600643e-01,7.689934019211039362e-02,7.684247605472896425e-02
7.711383138934350123e-01,7.066314785919675101e-02,7.061902897179411775e-02
7.694375338375890605e-01,6.420644546373491246e-02,6.417335081035094313e-02
7.680243536117521419e-01,5.780453410546689680e-02,5.778038581155177378e-02
7.666417412105754892e-01,5.157286283634537200e-02,5.155571355418287621e-02
7.651423793072965607e-01,4.554976384545877249e-02,4.553794909019574094e-02
7.635970519637059750e-01,3.978786665919366305e-02,3.977999248622437339e-02
7.622048358154710490e-01,3.437971572418553612e-02,3.437463589694316618e-02
7.611243660797810673e-01,2.942617106385894687e-02,2.942298587796116777e-02
7.603817143990903027e-01,2.502350480539883293e-02,2.502154608962121538e-02
